,R-3156_1,R-3156_2,R-3156_3,R-3156_4,R-3156_5,R-3156_6,R-3156_7,R-3156_8,R-3156_9
Owner,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex
Agitation Speed (rpm),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0
Liquid Volume (L),2838.669230769231,2838.669230769231,2838.669230769231,2838.669230769231,2838.669230769231,2838.669230769231,2838.669230769231,2838.669230769231,2838.669230769231
Solid Loading (%),1.1565468814539448,1.1565468814539448,1.1565468814539448,1.1565468814539448,1.1565468814539448,1.1565468814539448,1.1565468814539448,1.1565468814539448,1.1565468814539448
